"species","breed_name","color","name","actual_card_num","sex","birth_date"
1,"ТЕРЬЕР ЙОРКШИРСКИЙ","ПОРОДНЫЙ","БОНЯ",5709,2,20150605
1,"МЕТИС","ЧЕРНО-БЕЛЫЙ","МИККИ",3007,1,20110428
2,"МЕТИС","ЧЕРЕПАХОВЫЙ ТАББИ","АСЯ",3122,4,20110509
1,"БУЛЬМАСТИФ","ТИГРОВЫЙ","КЕНИЯ",571,2,20081124
1,"ТЕРЬЕР ЙОРКШИРСКИЙ","ЗОЛОТО С СЕРЕБРОМ","ДЖЕРИ",13026,1,20110701
1,"МЕТИС","ЧЕРНЫЙ","ЛУНИ",13083,1,20090801
2,"МЕТИС","ЧЕРНЫЙ БИКОЛОР","БУСИНКА",6691,4,20110301
1,"МЕТИС","ЧЕРНЫЙ","ЛЮСЯ",6856,4,20100301
1,"ТАКСА СТАНДАРТНАЯ ГЛАДКОШЕРСТНАЯ","ПАЛЕВЫЙ","ФИГАРО",13117,1,20120502
1,"РОТВЕЙЛЕР","ПОРОДНЫЙ","НОРА",13120,2,20120419
2,"МЕТИС","ЧЕРНЫЙ","ТОСЯ",3286,4,20110828
1,"СПАНИЕЛЬ РУССКИЙ","РЫЖИЙ С БЕЛЫМ","ХАРЛИ",6367,1,20120714
1,"ТЕРЬЕР ТОЙ РУССКИЙ ГЛАДКОШЕРСТНЫЙ","ЧЕРНО ПОДПАЛЫЙ","АЛЬМА",6366,2,20120627
2,"МЕТИС","ЧЕРЕПАХОВЫЙ","ЧУЧА",5598,4,20130315
2,"МЕТИС","БЕЛЫЙ","МАРУСЯ",6830,2,20060602
1,"ЛАЙКА ЗАПАДНО-СИБИРСКАЯ","ПОРОДНЫЙ","АЛЬМА",10019,2,20120828
2,"МЕТИС","СЕРЫЙ ТАББИ БИК.","ПИНОЧЕТ",453,3,20120415
1,"ОВЧАРКА НЕМЕЦКАЯ","ЧЕРНО-ПОДПАЛЫЙ","ГЕРАЛЬД",3574,1,20120805
1,"ОВЧАРКА ВОСТОЧНО-ЕВРОПЕЙСКАЯ","ЧЕПРАЧНЫЙ","БАЙКАЛ",3569,1,20120715
2,"МЕТИС","СЕРЫЙ ТАББИ","НЕТ",9066,4,20120401
1,"РЕТРИВЕР ЛАБРАДОР","ЧЕРНЫЙ","БЛЭК",13789,1,20100910
2,"ПЕРСИДСКАЯ","РЫЖИЙ ТАББИ","РАФАЭЛЬ",3987,3,20100815
2,"БРИТАНСКАЯ КОРОТКОШЕРСТНАЯ","ГОЛУБОЙ","МОРИС",3988,1,20121201
1,"БОЛОНКА МАЛЬТИЙСКАЯ","БЕЛЫЙ","БРИСИНДА",12670,2,20110903
2,"БРИТАНСКАЯ КОРОТКОШЕРСТНАЯ","СЕРЕБ.ШИНШИЛЛА","ЭСМИНА",5985,2,20121212
2,"СКОТТИШ-ФОЛД","ЛИЛОВЫЙ ТАББИ БИК","ДОБРЫНЯ",4620,1,20130512
2,"МЕТИС","СЕРЫЙ ТАББИ","ВАСЯ",4110,3,20120826
1,"МЕТИС","ЧЕРНО-БЕЛЫЙ","ЗЕНА",2479,2,20100827
2,"МЕТИС","ЧЕРНЫЙ БИКОЛОР","МЫШКА",4281,4,20100301
1,"ТЕРЬЕР ЙОРКШИРСКИЙ","ПОРОДНЫЙ","АДЕЛЬ",5163,2,20151110
1,"МЕТИС","ЧЕРНЫЙ","АЙЗА",5375,2,20130223
2,"МЕТИС","ЧЕРНЫЙ БИКОЛОР","БУСЯ",5742,4,20120501
2,"МЕТИС","ЧЕРНО-БЕЛ.","ФЕНЯ",4385,1,20020801
2,"ПЕРСИДСКАЯ","БЕЛЫЙ","ЛОЛА",4727,2,20130525
1,"ТЕРЬЕР ЙОРКШИРСКИЙ","ПОРОДНЫЙ","БЕТТИ",4550,2,20130524
1,"БИГЛЬ","ТРИКОЛОР","ТИНА",4909,2,20130901
2,"МЕТИС","ЧЕРНЫЙ БИКОЛОР","ВАСИЛИСА",4822,2,20130815
1,"МОПС","ПЕСОК","АРЧИ",4509,1,20130509
1,"ТЕРЬЕР АМЕРИКАНСКИЙ СТАФФОРДШИРСКИЙ","ЗОЛОТИСТЫЙ","АЛЬМА",4510,2,20130518
1,"ТЕРЬЕР ТОЙ РУССКИЙ ГЛАДКОШЕРСТНЫЙ","ПОРОДНЫЙ","ТИКЕТ",13058,1,20130615
2,"БРИТАНСКАЯ КОРОТКОШЕРСТНАЯ","ГОЛУБОЙ","РИЧАРД",572,3,20070404
